Title,ParentTask,MaxXP
C2_SimpleBashUtils,,350
C3_s21_string+,C2_SimpleBashUtils,750
C4_s21_math,C3_s21_string+,300
C5_s21_decimal,C3_s21_string+,350
C6_s21_matrix,C5_s21_decimal,200
C7_SmartCalc_v1.0,C6_s21_matrix,500
C8_3DViewer_v1.0,C7_SmartCalc_v1.0,750
D01_Linux,C3_s21_string+,300
D02_LinuxNetwork,D01_Linux,250
D03_LinuxMonitoring_v1.0,D02_LinuxNetwork,350
D04_LinuxMonitoring_v2.0,D03_LinuxMonitoring_v1.0,350
D05_SimpleDocker,D03_LinuxMonitoring_v1.0,300
D06_CICD,D05_SimpleDocker,300
CPP1_s21_matrix+,C8_3DViewer_v1.0,300
CPP2_containers,CPP1_s21_matrix+,350
CPP3_SmartCalc_v2.0,CPP2_containers,600
CPP4_3DViewer_v2.0,CPP3_SmartCalc_v2.0,750
A1_Maze,CPP4_3DViewer_v2.0,300
A2_SimpleNavigator_v1.0,A1_Maze,400
A3_Parallels,A2_SimpleNavigator_v1.0,300
